project_id,method,mae,mse,rmse,mape,r2
AAChartKit ,Informer,0.313605934381485,0.16645996272563934,0.40799505232985284,0.7911428213119507,0.4914930462837219
AAChartKit ,Transformer,0.28736409544944763,0.13093368709087372,0.36184760202449,1.7637158632278442,0.48658454418182373
AAChartKit ,EWM_TFormer,0.14380905032157898,0.03233946114778519,0.1798317578954985,0.18403151631355286,0.19745004177093506
AAChartKit ,LSTNet,0.6419683694839478,0.5334739685058594,0.7303930233140644,9223080509440.0,-6842487091.744916
AAChartKit ,Prophet,1.7952343042348329,3.674566942305958,1.9169159977176773,238.49903911982034,-2.8350439510193253
AAChartKit ,DeepAR,0.6162703337099267,0.39752777875410217,0.6304980402460441,1.5775149091273977,-42.88795509311883
AAChartKit ,LSTM,1.699886441230774,3.438023328781128,1.8541907476797332,0.8060913681983948,-1.870624832052083
AAChartKit ,Hot_Winters,0.9817666377530322,1.9884421681408602,1.4101213309998755,0.3920082930655982,-0.31327229133453516


